ID,Species,Region,leaf.length,leaflet.length,leaflet.width,leaflet.area,leaflet.upper.hairy,leaflet.lower.hairy,leaf.hairy,leaflet.shape1,leaflet.shape2,length.width
SH031,Species1,North,66.669,6.70035,2.74927,14.26803,3,3,3,0.0313490955,0.0088898659,2.487821
SH047,Species1,North,74.872,10.342043,4.964273,41.90489,3,3,3,-0.0293223437,0.0046593564,2.101884
SH050,Species1,North,108.2,9.826231,6.14765,47.96825,3,3,3,-0.127906873,0.012807701,1.627137
SH052,Species1,North,60.652,11.852149,5.245315,50.58037,3,NA,3,-0.0015406335,-0.004714812,2.259638
SH071,Species1,North,81.041,11.972194,5.522577,48.05486,3,3,3,-0.0006690593,0.0010825852,2.131357
SH099,Species1,North,95.179,12.547703,7.134706,66.27222,3,3,3,-0.0502440539,0.0009620066,1.999312
SH169,Species1,North,72.188,10.185365,5.780568,47.4013,3,3,3,-0.1038095025,0.0102820815,1.762001
SH200,Species1,North,78.167,15.00903,6.246403,73.89089,3,3,3,0.0162398201,0.0010605936,2.362293
SH232,Species1,North,74.2675,13.199413,5.759849,55.75971,3,3,3,0.017749195,0.002047783,2.291625
SH276,Species1,North,93.081,11.964845,6.563318,62.99458,3,3,3,-0.0864352053,0.0057817132,1.822987
SH377,Species2,North,69.491,9.862026,4.77642,38.0357,2,3,3,-0.0328690092,0.0061456693,1.979766
SH384,Species2,North,75.3235,10.554679,4.818221,40.43739,1,3,3,0.0044198493,-0.0037874574,2.192522
SH386,Species2,North,56.817,11.296841,5.249433,47.16384,2,3,NA,-0.0265247401,0.0009221388,2.020789
SH387,Species2,North,48.7645,9.401782,4.695112,35.05988,2,3,3,-0.0220897713,0.0044932027,1.988983
SH410,Species2,North,62.1385,9.902227,4.711305,36.87333,2,3,3,-0.0274980269,0.0038645582,2.053046
SH411,Species2,North,61.09,9.450149,4.247716,33.58989,2,3,3,-0.0056484361,-0.0056303521,2.20173
SH455,Species2,North,78.055,10.550133,4.972011,41.36537,NA,3,3,-0.0239559186,0.0061211091,2.086493
SH479,Species2,North,64.935,9.276467,4.253755,28.13057,1,3,3,0.0232700755,-0.0003699173,2.339058
SH481,Species2,North,56.803,9.109738,4.500049,33.27155,2,3,3,-0.0324949811,0.0059321161,2.007798
SH001,Species3,North,67.861,12.277702,4.827422,47.02841,2,3,3,0.0469613104,-0.0053775066,2.549335
SH006,Species3,North,63.2325,14.857314,8.024601,93.42009,2,3,3,-0.0151186662,-0.0075111565,2.051436
SH009,Species3,North,28.4885,7.548855,3.723955,22.45668,1,3,3,-0.0396984262,0.0030582689,2.029406
SH010,Species3,North,33.7905,8.602746,4.141926,30.34601,1,3,3,-0.037004133,0.0004581234,2.02339
SH011,Species3,North,45.547,8.894541,3.840365,27.27745,2,3,2,0.0226892436,0.0024474201,2.333342
SH017,Species3,North,41.616,10.208724,4.582904,36.85488,1,3,3,-0.0012819016,-0.0007412652,2.220955
SH150,Species3,North,40.0525,8.358569,4.003714,26.59581,1,3,3,-0.0002992087,-0.0004647016,2.322568
SH151,Species3,North,39.667,7.948178,3.421235,24.59985,2,3,3,0.0346206026,-0.0012554302,2.126165
SH175,Species3,North,47.72,13.260494,4.774422,51.09089,2,3,3,0.0820197125,-0.0053974703,2.80967
SH217,Species3,North,40.103,8.738839,4.07866,28.54546,3,NA,3,-0.022346018,0.0009486193,2.037045
SH225,Species3,North,51.909,10.113947,4.230679,32.55204,3,3,3,0.0468883799,-0.008111496,2.495969
SH277,Species3,North,65.348,10.746938,5.24666,45.81359,2,3,3,-0.0268684611,-0.0031262468,2.103114
SH002,Species4,North,171.0865,47.168447,23.579584,875.38519,1,NA,1,-0.0722400214,0.0068657822,1.859192
SH003,Species4,North,95.2,30.323745,14.65576,291.12905,1,1,1,0.0070989736,-0.0008017957,2.36609
SH008,Species4,North,89.033,31.097623,11.617781,283.73605,1,1,1,0.0667110242,0.0020311585,2.703417
SH321,Species4,North,100.163,30.526216,14.263899,325.09036,1,1,1,-0.030071789,-0.0035968521,2.140103
SH379,Species4,North,87.998,27.288135,14.539986,307.45238,1,1,1,-0.0864300348,0.0103431354,1.903024
SH279,Species4,North,142.472,32.289565,14.788613,302.55903,1,NA,1,-0.0200549338,-0.0028328739,2.183407
SH594,Species4,South,83.79,22.775634,9.487847,161.86073,1,1,1,0.007203157,0.0061813819,2.297106
SH596,Species4,South,96.079,21.950483,10.673127,170.46046,1,1,1,-0.0247019868,0.0168171263,2.058244
SH597,Species4,South,98.4085,21.167218,9.892048,148.54419,1,1,1,0.0005048062,0.0101889693,2.331085
SH599,Species4,South,130.713,23.271268,13.974252,239.0545,1,1,1,-0.0916477739,0.005074239,1.793041
SH604,Species4,South,91.482,19.985285,7.949847,107.03155,1,1,1,0.0846116608,0.0060013393,2.76409
SH285,Species5,North,104.721,27.532287,9.409843,204.25254,2,3,3,0.0804683959,-0.0094429343,2.776298
SH290,Species5,North,103.133,23.354737,8.834882,168.36343,2,3,3,0.0594002811,-0.0095720483,2.54856
SH293,Species5,North,79.181,16.097523,5.567958,67.39762,2,3,3,0.0932873709,-0.0132087256,2.948751
